Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 1,marginally,0.0,0.0002508151492343847
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.044300027421077526,0.010927777514265283
sanity.close_values_probability.score,results 2,marginally,0.9810869044768973,0.9912214697767745
sanity.distant_values_probability.score,results 2,marginally,0.0014364376346660283,0.0007524454477050414
stats.jensenshannon_dist.marginal,results 2,marginally,0.00523689658399138,0.002494340037561435
stats.chi_squared_test.marginal,results 1,by far,0.9999631184771535,0.33331418847973804
stats.inv_kl_divergence.marginal,results 2,marginally,0.959642372778996,0.9631194632776899
stats.ks_test.marginal,results 2,marginally,0.9579708988375495,0.9765905860713987
stats.max_mean_discrepancy.joint,results 2,marginally,0.0013446651861199754,0.0006232182732273939
stats.wasserstein_dist.joint,results 2,marginally,0.03668624122195817,0.0031501114664412855
stats.prdc.precision,results 2,marginally,0.9344026813502514,0.9362929520943065
stats.prdc.recall,results 1,marginally,0.9554704333253531,0.9382994732881866
stats.prdc.density,results 2,marginally,0.8463490543452239,0.8679709054426887
stats.prdc.coverage,results 1,marginally,0.9358391189849175,0.9134687735139202
stats.alpha_precision.delta_precision_alpha_OC,results 2,by far,0.8759875508738328,0.9584794259504309
stats.alpha_precision.delta_coverage_beta_OC,results 2,marginally,0.4526374591014285,0.4931861884457821
stats.alpha_precision.authenticity_OC,results 1,marginally,0.5219056739286569,0.49435665914221216
stats.alpha_precision.delta_precision_alpha_naive,results 2,by far,0.9213344010302725,0.9883933127491935
stats.alpha_precision.delta_coverage_beta_naive,results 2,marginally,0.4153539222727637,0.4280411336844746
stats.alpha_precision.authenticity_naive,results 1,marginally,0.5319607373713191,0.5237020316027088
performance.linear_model.syn_id,results 2,by far,0.3482956353102091,0.4858234285276066
performance.linear_model.syn_ood,results 2,by far,0.2910705093164162,0.41427804982433947
performance.mlp.syn_id,results 1,marginally,0.5344764590263367,0.5285297830899557
performance.mlp.syn_ood,results 1,marginally,0.5016576051712036,0.4844205975532532
performance.xgb.syn_id,results 2,marginally,0.4901290734608968,0.493147075176239
performance.xgb.syn_ood,results 2,marginally,0.46988606452941895,0.4801945686340332
performance.feat_rank_distance.corr,results 2,marginally,0.6428571428571428,0.6428571428571428
performance.feat_rank_distance.pvalue,results 2,marginally,0.03115079365079365,0.03115079365079365
detection.detection_xgb.mean,results 1,marginally,0.6984531405351694,0.7211679115892641
detection.detection_mlp.mean,results 2,marginally,0.5240810436097262,0.4948660271540897
detection.detection_gmm.mean,results 1,marginally,0.485715844072216,0.5001707015067592
detection.detection_linear.mean,results 2,marginally,0.542460223900552,0.5143109009472661
privacy.delta-presence.score,results 2,by far,1.7307692304363904,4.9599999980159994
privacy.k-anonymization.syn,Error,Ground truth values differ,,
privacy.k-map.score,results 1,by far,52.0,25.0
privacy.distinct l-diversity.syn,Error,Ground truth values differ,,
privacy.identifiability_score.score,results 1,marginally,0.4048360067033756,0.4120892901931277
privacy.identifiability_score.score_OC,results 1,marginally,0.4658846061766818,0.5001254075746175
