Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.015191662936322022,0.014802962706484174
sanity.close_values_probability.score,results 1,marginally,0.9980847498204453,0.9862051667920743
sanity.distant_values_probability.score,results 1,marginally,0.00023940627244433804,0.0007524454477050414
stats.jensenshannon_dist.marginal,results 2,marginally,0.01049770931439119,0.008631613739608796
stats.chi_squared_test.marginal,results 1,by far,0.44385463487152454,0.1110286634186977
stats.inv_kl_divergence.marginal,results 1,by far,0.9524960274393194,0.8855415010778168
stats.ks_test.marginal,results 2,marginally,0.8956986673050833,0.8980854443608393
stats.max_mean_discrepancy.joint,results 1,marginally,0.004603835332061129,0.012361447633208289
stats.wasserstein_dist.joint,results 2,marginally,0.008890758330970383,0.008388377576567558
stats.prdc.precision,results 2,marginally,0.6004309312903998,0.6453473789816905
stats.prdc.recall,results 1,marginally,0.9616949964089059,0.9174818159016804
stats.prdc.density,results 1,marginally,0.40335168781422076,0.39869576122397793
stats.prdc.coverage,results 1,by far,0.5329183624610965,0.4309004263857537
stats.alpha_precision.delta_precision_alpha_OC,results 2,marginally,0.6652781102864895,0.708084608310342
stats.alpha_precision.delta_coverage_beta_OC,results 1,marginally,0.3935200702258399,0.38128918986706806
stats.alpha_precision.authenticity_OC,results 1,marginally,0.5693081158726359,0.5548031101078506
stats.alpha_precision.delta_precision_alpha_naive,results 2,marginally,0.9485667269310042,0.9559637788329312
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.1318649748623415,0.106462670345289
stats.alpha_precision.authenticity_naive,results 2,marginally,0.7064879099832415,0.746676699272636
performance.linear_model.syn_id,results 1,marginally,0.43244126882621314,0.3843737649758269
performance.linear_model.syn_ood,results 1,by far,0.3598848093530254,0.21972018375109237
performance.mlp.syn_id,results 1,by far,0.4909422794977824,0.41893380880355835
performance.mlp.syn_ood,results 1,by far,0.44534099102020264,0.3751857876777649
performance.xgb.syn_id,results 1,by far,0.4057776927947998,0.31208672126134235
performance.xgb.syn_ood,results 1,marginally,0.34985899925231934,0.3311089277267456
performance.feat_rank_distance.corr,results 2,by far,0.3571428571428571,-0.07142857142857142
performance.feat_rank_distance.pvalue,results 1,by far,0.27509920634920637,0.9048611111111111
detection.detection_xgb.mean,results 1,marginally,0.99160242000563,0.9946424827264985
detection.detection_mlp.mean,results 1,by far,0.5583431006591674,0.6698935762446915
detection.detection_gmm.mean,results 2,marginally,0.5285314791196655,0.5082618019473749
detection.detection_linear.mean,results 1,by far,0.7060913557097704,0.7930588181341051
privacy.delta-presence.score,results 2,by far,5.49999998625,9.07142856494898
privacy.k-anonymization.syn,Error,Ground truth values differ,,
privacy.k-map.score,results 2,by far,4.0,14.0
privacy.distinct l-diversity.syn,Error,Ground truth values differ,,
privacy.identifiability_score.score,results 2,marginally,0.15776873354081877,0.12465512916980186
privacy.identifiability_score.score_OC,results 1,marginally,0.38281062963849655,0.40105342362678703
