Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 2,marginally,0.06932302664098988,0.05262382133473416
sanity.close_values_probability.score,results 2,marginally,0.9490909090909091,0.9506769825918762
sanity.distant_values_probability.score,results 2,marginally,0.012727272727272728,0.012572533849129593
stats.jensenshannon_dist.marginal,results 2,marginally,0.02345878287539144,0.019831742146267185
stats.chi_squared_test.marginal,results 1,marginally,0.4994996382360363,0.4986273640060913
stats.inv_kl_divergence.marginal,results 2,marginally,0.5531018519551525,0.5604726584188527
stats.ks_test.marginal,results 2,by far,0.7993181818181818,0.8539651837524178
stats.max_mean_discrepancy.joint,results 2,marginally,0.001986022376105293,0.0019798733853645164
stats.wasserstein_dist.joint,results 2,marginally,0.014578390892316943,0.014574068850907708
stats.prdc.precision,results 2,marginally,1.0,1.0
stats.prdc.recall,results 2,by far,0.011818181818181818,0.097678916827853
stats.prdc.density,results 1,marginally,1.0514545454545454,1.0270793036750483
stats.prdc.coverage,results 2,by far,0.02,0.07640232108317214
stats.alpha_precision.delta_precision_alpha_OC,results 2,by far,0.6469320794148381,0.8369394606371863
stats.alpha_precision.delta_coverage_beta_OC,results 2,marginally,0.021939393939393925,0.07130883301096069
stats.alpha_precision.authenticity_OC,results 1,by far,0.9663636363636363,0.9158607350096711
stats.alpha_precision.delta_precision_alpha_naive,results 2,marginally,0.9066311389759666,0.9525445207763623
stats.alpha_precision.delta_coverage_beta_naive,results 2,by far,0.1640606060606059,0.29303675048355915
stats.alpha_precision.authenticity_naive,results 1,by far,0.8463636363636363,0.6992263056092843
performance.linear_model.syn_id,results 1,marginally,-0.007157847603457131,-0.02604975370668187
performance.linear_model.syn_ood,results 1,marginally,-0.000541328263501839,-0.03614133295628452
performance.mlp.syn_id,results 2,by far,-3.919983386993408,-3.6765503883361816
performance.mlp.syn_ood,results 1,by far,-3.0910425186157227,-3.786149501800537
performance.xgb.syn_id,results 1,marginally,-0.02277640501658122,-0.06751445929209392
performance.xgb.syn_ood,results 1,by far,-0.004913926124572754,-0.06931591033935547
performance.feat_rank_distance.corr,results 1,by far,0.33333333333333337,1.0
performance.feat_rank_distance.pvalue,results 2,by far,1.0,0.3333333333333333
detection.detection_xgb.mean,results 2,marginally,0.9999503680211234,0.9953656363313681
detection.detection_mlp.mean,results 2,marginally,0.5,0.5
detection.detection_gmm.mean,results 2,by far,0.6275774667624306,0.47906454086741596
detection.detection_linear.mean,results 1,marginally,0.5375996793043886,0.5814531179528761
privacy.delta-presence.score,results 2,by far,0.9527272727186117,1.283582089456449
privacy.k-anonymization.syn,results 1,by far,28.00000001,4.00000001
privacy.k-map.score,results 1,by far,371.0,134.0
privacy.distinct l-diversity.syn,results 1,by far,28.00000001,4.00000001
privacy.identifiability_score.score,results 1,marginally,0.012727272727272728,0.05222437137330754
privacy.identifiability_score.score_OC,results 1,marginally,0.01818181818181818,0.05705996131528046
