Metric,Better Results,Magnitude,orig,privgen
sanity.data_mismatch.score,results 2,marginally,0.0,0.0
sanity.common_rows_proportion.score,results 2,marginally,0.0,0.0
sanity.nearest_syn_neighbor_distance.mean,results 1,marginally,0.024651211354415677,0.04154257749895465
sanity.close_values_probability.score,results 1,marginally,0.9892267177400048,0.9686481063456233
sanity.distant_values_probability.score,results 1,marginally,0.0007182188173330142,0.0007524454477050414
stats.jensenshannon_dist.marginal,results 1,marginally,0.01741617405157109,0.04324707549248309
stats.chi_squared_test.marginal,results 1,by far,0.2072035534633708,0.06585210446126771
stats.inv_kl_divergence.marginal,results 1,by far,0.6815086010474741,0.37955520523262254
stats.ks_test.marginal,results 1,by far,0.7973824914212753,0.5469442354318201
stats.max_mean_discrepancy.joint,results 1,marginally,0.011422327345433553,0.041539130967146703
stats.wasserstein_dist.joint,results 1,by far,0.010235707141575345,0.09039812528641498
stats.prdc.precision,results 1,by far,0.5781661479530764,0.40757461750689744
stats.prdc.recall,results 1,by far,0.49533157768733543,0.4271381991472285
stats.prdc.density,results 1,by far,0.342877663394781,0.26987710057687486
stats.prdc.coverage,results 1,by far,0.20253770648790997,0.11211437170805116
stats.alpha_precision.delta_precision_alpha_OC,results 2,by far,0.4779666427260394,0.8613159434829865
stats.alpha_precision.delta_coverage_beta_OC,results 2,marginally,0.23520868246748072,0.2691413761391188
stats.alpha_precision.authenticity_OC,results 2,marginally,0.6633947809432608,0.6864810634562327
stats.alpha_precision.delta_precision_alpha_naive,results 1,by far,0.8843816301090537,0.741521438929394
stats.alpha_precision.delta_coverage_beta_naive,results 1,marginally,0.024307716862181694,0.02223894323217135
stats.alpha_precision.authenticity_naive,results 2,by far,0.9035192722049318,0.9603712064208678
performance.linear_model.syn_id,results 1,by far,0.3347088213036675,-0.13876856828584652
performance.linear_model.syn_ood,results 1,by far,0.30849184569275,-0.15135656183660506
performance.mlp.syn_id,results 1,by far,0.3024062712987264,-0.06334094206492107
performance.mlp.syn_ood,results 1,by far,0.27867645025253296,-0.053665757179260254
performance.xgb.syn_id,results 1,by far,0.02203202247619629,-0.6834222873051962
performance.xgb.syn_ood,results 1,by far,-0.04147958755493164,-0.8227043151855469
performance.feat_rank_distance.corr,results 2,by far,0.6428571428571428,0.14285714285714285
performance.feat_rank_distance.pvalue,results 1,by far,0.03115079365079365,0.7195436507936508
detection.detection_xgb.mean,results 1,marginally,0.9999377484243942,0.9999994338258483
detection.detection_mlp.mean,results 1,by far,0.6664098113346879,0.7605083338004269
detection.detection_gmm.mean,results 2,by far,0.498451026635258,0.44646030751182875
detection.detection_linear.mean,results 1,marginally,0.8250012995125392,0.8302409844787131
privacy.delta-presence.score,results 1,by far,188.99999811000004,6.6499999983375
privacy.k-anonymization.syn,Error,Ground truth values differ,,
privacy.k-map.score,results 2,by far,1.0,40.0
privacy.distinct l-diversity.syn,Error,Ground truth values differ,,
privacy.identifiability_score.score,results 2,marginally,0.05266937993775437,0.03486330574366692
privacy.identifiability_score.score_OC,results 1,marginally,0.26334689968877184,0.2929520943064961
