index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.10653688304797689,0.10653688304797689,0.10653688304797689,0.0,0.10653688304797689,0.0,1,0,0.12,minimize,True
sanity.close_values_probability.score,0.8971774193548387,0.8971774193548387,0.8971774193548387,0.0,0.8971774193548387,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.010184298798015775,0.010184298798015775,0.010184298798015775,0.0,0.010184298798015775,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.026592102694912717,0.026592102694912717,0.026592102694912717,0.0,0.026592102694912717,0.0,1,0,0.01,maximize,True
stats.inv_kl_divergence.marginal,0.5925365854410006,0.5925365854410006,0.5925365854410006,0.0,0.5925365854410006,0.0,1,0,0.01,maximize,True
stats.ks_test.marginal,0.9197468637992832,0.9197468637992832,0.9197468637992832,0.0,0.9197468637992832,0.0,1,0,0.01,maximize,True
stats.max_mean_discrepancy.joint,0.016627393879336042,0.016627393879336042,0.016627393879336042,0.0,0.016627393879336042,0.0,1,0,0.01,minimize,True
stats.wasserstein_dist.joint,0.5058570178689692,0.5058570178689692,0.5058570178689692,0.0,0.5058570178689692,0.0,1,0,0.01,minimize,True
stats.prdc.precision,0.9798387096774194,0.9798387096774194,0.9798387096774194,0.0,0.9798387096774194,0.0,1,0,0.01,maximize,True
stats.prdc.recall,0.1875,0.1875,0.1875,0.0,0.1875,0.0,1,0,0.01,maximize,True
stats.prdc.density,1.1508064516129033,1.1508064516129033,1.1508064516129033,0.0,1.1508064516129033,0.0,1,0,0.01,maximize,True
stats.prdc.coverage,0.3346774193548387,0.3346774193548387,0.3346774193548387,0.0,0.3346774193548387,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.7290322580645161,0.7290322580645161,0.7290322580645161,0.0,0.7290322580645161,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.22392473118279566,0.22392473118279566,0.22392473118279566,0.0,0.22392473118279566,0.0,1,0,0.01,maximize,True
stats.alpha_precision.authenticity_OC,0.6350806451612904,0.6350806451612904,0.6350806451612904,0.0,0.6350806451612904,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.5471774193548387,0.5471774193548387,0.5471774193548387,0.0,0.5471774193548387,0.0,1,0,0.01,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.1991935483870968,0.1991935483870968,0.1991935483870968,0.0,0.1991935483870968,0.0,1,0,0.01,maximize,True
stats.alpha_precision.authenticity_naive,0.6310483870967742,0.6310483870967742,0.6310483870967742,0.0,0.6310483870967742,0.0,1,0,0.01,maximize,True
privacy.delta-presence.score,34.99999965000001,34.99999965000001,34.99999965000001,0.0,34.99999965000001,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.syn,11.00000001,11.00000001,11.00000001,0.0,11.00000001,0.0,1,0,0.01,maximize,True
privacy.k-map.score,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.01,maximize,True
privacy.distinct l-diversity.syn,11.00000001,11.00000001,11.00000001,0.0,11.00000001,0.0,1,0,0.01,maximize,True
privacy.identifiability_score.score,0.14919354838709678,0.14919354838709678,0.14919354838709678,0.0,0.14919354838709678,0.0,1,0,0.01,minimize,True
privacy.identifiability_score.score_OC,0.20161290322580644,0.20161290322580644,0.20161290322580644,0.0,0.20161290322580644,0.0,1,0,0.01,minimize,True
