index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.0976347552899444,0.0976347552899444,0.0976347552899444,0.0,0.0976347552899444,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.875,0.875,0.875,0.0,0.875,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.011157522497010759,0.011157522497010759,0.011157522497010759,0.0,0.011157522497010759,0.0,1,0,0.01,minimize,True
stats.chi_squared_test.marginal,0.02523683453555656,0.02523683453555656,0.02523683453555656,0.0,0.02523683453555656,0.0,1,0,0.01,maximize,True
stats.inv_kl_divergence.marginal,0.6051632955237027,0.6051632955237027,0.6051632955237027,0.0,0.6051632955237027,0.0,1,0,0.0,maximize,True
stats.ks_test.marginal,0.9191868279569891,0.9191868279569891,0.9191868279569891,0.0,0.9191868279569891,0.0,1,0,0.0,maximize,True
stats.max_mean_discrepancy.joint,0.01265482628769351,0.01265482628769351,0.01265482628769351,0.0,0.01265482628769351,0.0,1,0,0.0,minimize,True
stats.wasserstein_dist.joint,0.5024603409267854,0.5024603409267854,0.5024603409267854,0.0,0.5024603409267854,0.0,1,0,0.0,minimize,True
stats.prdc.precision,0.9657258064516129,0.9657258064516129,0.9657258064516129,0.0,0.9657258064516129,0.0,1,0,0.0,maximize,True
stats.prdc.recall,0.22782258064516128,0.22782258064516128,0.22782258064516128,0.0,0.22782258064516128,0.0,1,0,0.0,maximize,True
stats.prdc.density,1.0608870967741937,1.0608870967741937,1.0608870967741937,0.0,1.0608870967741937,0.0,1,0,0.0,maximize,True
stats.prdc.coverage,0.4112903225806452,0.4112903225806452,0.4112903225806452,0.0,0.4112903225806452,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.6405913978494624,0.6405913978494624,0.6405913978494624,0.0,0.6405913978494624,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.3030913978494624,0.3030913978494624,0.3030913978494624,0.0,0.3030913978494624,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_OC,0.6270161290322581,0.6270161290322581,0.6270161290322581,0.0,0.6270161290322581,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.5411290322580646,0.5411290322580646,0.5411290322580646,0.0,0.5411290322580646,0.0,1,0,0.0,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.26330645161290334,0.26330645161290334,0.26330645161290334,0.0,0.26330645161290334,0.0,1,0,0.0,maximize,True
stats.alpha_precision.authenticity_naive,0.5806451612903226,0.5806451612903226,0.5806451612903226,0.0,0.5806451612903226,0.0,1,0,0.0,maximize,True
privacy.delta-presence.score,2.923076922514793,2.923076922514793,2.923076922514793,0.0,2.923076922514793,0.0,1,0,0.01,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.k-anonymization.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.0,maximize,True
privacy.k-map.score,52.0,52.0,52.0,0.0,52.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.0,maximize,True
privacy.distinct l-diversity.syn,3.00000001,3.00000001,3.00000001,0.0,3.00000001,0.0,1,0,0.0,maximize,True
privacy.identifiability_score.score,0.18951612903225806,0.18951612903225806,0.18951612903225806,0.0,0.18951612903225806,0.0,1,0,0.01,minimize,True
privacy.identifiability_score.score_OC,0.24596774193548387,0.24596774193548387,0.24596774193548387,0.0,0.24596774193548387,0.0,1,0,0.01,minimize,True
