index,min,max,mean,stddev,median,iqr,rounds,errors,durations,direction,privgen_used
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,minimize,True
sanity.nearest_syn_neighbor_distance.mean,0.08055930525767258,0.08055930525767258,0.08055930525767258,0.0,0.08055930525767258,0.0,1,0,0.0,minimize,True
sanity.close_values_probability.score,0.9112903225806451,0.9112903225806451,0.9112903225806451,0.0,0.9112903225806451,0.0,1,0,0.0,maximize,True
stats.jensenshannon_dist.marginal,0.009361739410495477,0.009361739410495477,0.009361739410495477,0.0,0.009361739410495477,0.0,1,0,0.1,minimize,True
stats.chi_squared_test.marginal,0.02638881053265569,0.02638881053265569,0.02638881053265569,0.0,0.02638881053265569,0.0,1,0,0.02,maximize,True
stats.inv_kl_divergence.marginal,0.6405280409073556,0.6405280409073556,0.6405280409073556,0.0,0.6405280409073556,0.0,1,0,0.02,maximize,True
stats.ks_test.marginal,0.9327956989247311,0.9327956989247311,0.9327956989247311,0.0,0.9327956989247311,0.0,1,0,0.02,maximize,True
stats.max_mean_discrepancy.joint,0.004954827295372672,0.004954827295372672,0.004954827295372672,0.0,0.004954827295372672,0.0,1,0,0.02,minimize,True
stats.wasserstein_dist.joint,0.4986180660262425,0.4986180660262425,0.4986180660262425,0.0,0.4986180660262425,0.0,1,0,0.03,minimize,True
stats.prdc.precision,0.9133064516129032,0.9133064516129032,0.9133064516129032,0.0,0.9133064516129032,0.0,1,0,0.02,maximize,True
stats.prdc.recall,0.6935483870967742,0.6935483870967742,0.6935483870967742,0.0,0.6935483870967742,0.0,1,0,0.02,maximize,True
stats.prdc.density,0.9701612903225807,0.9701612903225807,0.9701612903225807,0.0,0.9701612903225807,0.0,1,0,0.02,maximize,True
stats.prdc.coverage,0.7399193548387096,0.7399193548387096,0.7399193548387096,0.0,0.7399193548387096,0.0,1,0,0.02,maximize,True
stats.alpha_precision.delta_precision_alpha_OC,0.809005376344086,0.809005376344086,0.809005376344086,0.0,0.809005376344086,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_OC,0.46948924731182784,0.46948924731182784,0.46948924731182784,0.0,0.46948924731182784,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_OC,0.5040322580645161,0.5040322580645161,0.5040322580645161,0.0,0.5040322580645161,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_precision_alpha_naive,0.6196236559139785,0.6196236559139785,0.6196236559139785,0.0,0.6196236559139785,0.0,1,0,0.11,maximize,True
stats.alpha_precision.delta_coverage_beta_naive,0.29462365591397843,0.29462365591397843,0.29462365591397843,0.0,0.29462365591397843,0.0,1,0,0.11,maximize,True
stats.alpha_precision.authenticity_naive,0.5584677419354839,0.5584677419354839,0.5584677419354839,0.0,0.5584677419354839,0.0,1,0,0.11,maximize,True
privacy.delta-presence.score,6.666666644444445,6.666666644444445,6.666666644444445,0.0,6.666666644444445,0.0,1,0,0.22,maximize,True
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.46,maximize,True
privacy.k-anonymization.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.46,maximize,True
privacy.k-map.score,3.0,3.0,3.0,0.0,3.0,0.0,1,0,0.22,maximize,True
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,1.0,0.0,1,0,0.35,maximize,True
privacy.distinct l-diversity.syn,10.00000001,10.00000001,10.00000001,0.0,10.00000001,0.0,1,0,0.35,maximize,True
privacy.identifiability_score.score,0.3387096774193548,0.3387096774193548,0.3387096774193548,0.0,0.3387096774193548,0.0,1,0,0.07,minimize,True
privacy.identifiability_score.score_OC,0.4112903225806452,0.4112903225806452,0.4112903225806452,0.0,0.4112903225806452,0.0,1,0,0.07,minimize,True
